Count,Date,Time,Growing Area,Growing Area Description,Station ID,Station Location,Lat,Long,Tide stage,Water Temp (°F),Cochlodinium polykrikoides (cells/L),Notes,LandLat,LandLong,SSTLat,SSTLong
1,8/30/2016,,11NG,Ninigret Pond,Red water patch,Ninigret Pond,41.3623,-71.6517,,,"5,500,000",,41.365190,-71.653653,41.35491558,-71.6392166
3,9/2/2016,,1,Upper Bay A,Red water patch,Off Conimicut Point,41.7179585,-71.356099,,,"390,000",,41.717094,-71.358925,41.71738925,-71.35349572
2,9/2/2016,,1,Upper Bay A,Red water patch,off Colt State Park,41.672678,-71.307543,,,"1,040,000",,41.672726,-71.305945,41.672678,-71.307543
4,9/9/2016,1036,5,Kickemuit,5K-1,Kickemuit River,41.70923,-71.25105,,72.7,"111,000",,41.708894,-71.2543015,41.70923,-71.25105
5,9/9/2016,1111,17,Mt. Hope Bay,17-15,Mt. Hope Bay,41.689786,-71.203938,,73.8,"166,000",,41.684370,-71.18958416,41.689786,-71.203938
8,9/9/2016,,5,Kickemuit,Red water patch,"Kickemuit, south of race",41.708279,-71.247854,,,"300,000",,41.708894,-71.2543015,41.708279,-71.247854
7,9/9/2016,,17,Mt. Hope Bay,Red water patch,"Mt Hope Bay, Bristol boat ramp",41.689271,-71.242775,,,"1,600,000",,41.689656,-71.24378485,41.689271,-71.242775
9,9/9/2016,,17,Mt. Hope Bay,Red water patch,"Mt Hope Bay, RWU dock",41.64967,-71.255953,,,"4,470,000",,41.650071,-71.25744498,41.64923577,-71.2539737
6,9/9/2016,,17,Mt. Hope Bay,Red water patch,Mt Hope Bridge,41.63954,-71.25831,,,"5,100,000",,41.643469,-71.26053154,41.63954,-71.25831
10,9/12/2016,1119,8,Greenwich Bay,8C-3,Greenwich Bay west end,41.67922,-71.43732,,72.8,"111,000",,41.678980,-71.44834187,41.67922,-71.43732
11,9/12/2016,1216,1,Upper Bay A,1A-2,Upper Narragansett Bay GA 1 Barrington Beach,41.71474,-71.31858,,72.3,"44,300",,41.713923,-71.30672531,41.71474,-71.31858
12,9/13/2016,1006,2,Palmer River,2-10,"Palmer, off Warren WWTF",41.727878,-71.286486,,71,"18,000",,41.728378,-71.28604427,41.727878,-71.286486
13,9/21/2016,1017,1,Upper Bay A,1-3C,Upper Bay bact 1-3C,41.7031,-71.3333,,71.4,"28,000",,41.703388,-71.36606721,41.7031,-71.3333
14,9/21/2016,1055,3,East Mid Bay,3-10,East Middle Bay,41.6238,-71.2905,,69.7,"1,107",,41.619196,-71.30542448,41.6238,-71.2905
15,9/21/2016,,3,East Mid Bay,Red water patch,Bristol Harbor,41.6669,-71.2852,,,"2,300,000",,41.667846,-71.28956731,41.68424488,-71.30894706
16,9/22/2016,1130,4,Sakonnet,4-4,"Sakonnet, Nanaquaket N",41.6196,-71.2108,,72.2,"6,100",,41.620514,-71.21023204,41.6196,-71.2108
17,7/31/2017,1050,4,Sakonnet,4A-1,Sakonnet River northwest of Sapowet Point,41.59970,-71.22851,Flood,69.9,"1,600",,41.601310,-71.24290953,41.59970,-71.22851
18,7/31/2017,1314,17,Mt. Hope Bay,17-1,Mt Hope Bay Seal Rock,41.66359,-71.24159,Flood,70,450,,41.666654,-71.24036741,41.66359,-71.24159
19,8/1/2017,957,8,Greenwich Bay,8A-2,Greenwich Bay east,41.67497,-71.40492,Low,72,500,,41.677224,-71.38923958,41.67497,-71.40492
20,8/1/2017,1053,8,Greenwich Bay,Red water patch,"MOUTH OF Apponaug Cove, near stn 8-8",41.689022,-71.444691,Low,75.1,"3,080,000",,41.688540,-71.44254272,41.689022,-71.444691
21,8/1/2017,1112,8,Greenwich Bay,8C-3,Greenwich Bay west end,41.67922,-71.43732,Low,75,"14,400",,41.676084,-71.44695441,41.67922,-71.43732
22,8/1/2017,,10,Pt. Judith Pond,10PJ-6,Pt Judith Pond east of Beef Island,41.39640,-71.51151,,,350,,41.397973,-71.51446129,41.39640,-71.51151
23,8/1/2017,,10,Potter Pond,10PP-5,Potters Pond off Meadow Point,41.38208,-71.53254,,,800,,41.383835,-71.53260702,41.37016,-71.53345
24,8/22/2017,956,6,East Passage,4A-6,6-14 East Pass north,41.571,-71.3119,Ebb,69.9,50,,41.582817,-71.32302733,41.571,-71.3119
25,7/30/2018,1103,8,Greenwich Bay,8C-3,Greenwich Bay west end,41.67922,-71.43732,Flood,79.3,"2,816,000",,41.676084,-71.44695441,41.67922,-71.43732
26,8/1/2018,1330,16,Providence River,16-Bullocks,Dock at Cove Haven in Bullock Cove,41.5829,-71.3173,Flood,82,"8,103,000",,41.583073,-71.32305515,41.5829,-71.3173
27,8/9/2018,1041,8,Greenwich Bay,8C-3,Greenwich Bay west end,41.67922,-71.43732,Ebb,82.8,"990,000",,41.676084,-71.44695441,41.67922,-71.43732
28,8/27/2018,1032,14,Offshore - East,14EB-12,Offshore lower Sakonnet River,41.46359,-71.21516,Ebb,70.9,0,,41.461304,-71.19500719,41.46359,-71.21516
29,8/27/2018,1211,14,Offshore - East,14EA-8,Offshore mouth of East Passage,41.44939,-71.37615,Ebb,69.7,"50,200",,41.454977,-71.391988,41.44939,-71.37615
30,8/27/2018,1221,14,Offshore - East,14EB-7,Whale Rock,41.4418,-71.4349,Ebb,70.6,"6,000",,41.443845,-71.43664064,41.4418,-71.4349
31,8/29/2018,1033,14,Offshore - West,14WA-5,Offshore southeast of Point Judith,41.35373,-71.47897,Ebb,69,0,,41.361499,-71.48123259,41.35373,-71.47897
33,8/29/2018,1036,8,Greenwich Bay,8A-2,Greenwich Bay east,41.67497,-71.40492,Ebb,76.6,"7,200",,41.676109,-71.38971706,41.67497,-71.40492
34,8/29/2018,1117,8,Greenwich Bay,8C-3,Greenwich Bay west end,41.67922,-71.43732,Ebb,78.6,900,,41.673732,-71.44262753,41.67922,-71.43732
32,8/29/2018,1140,14,Offshore - West,14WA-4,Little Narragansett Bay s Sandy Point,41.31089,-71.89529,Ebb,67.5,0,,41.307000,-71.88471258,41.31089,-71.89529
35,8/29/2018,1228,1,Upper Bay B,1B-3,Upper Narragansett Bay GA1 North Patience Island,41.67159,-71.36161,Ebb,77.3,"1,400",outside red water patch,41.674326,-71.37431684,41.67159,-71.36161
36,8/29/2018,1230,1,Upper Bay B,1B-3,Upper Narragansett Bay GA1 North Patience Island,41.67159,-71.36161,Ebb,77.3,"638,000","Red water patch 100 m from stn 1B-3 had 638,000 Cochlodinium cells per liter",41.674326,-71.37431684,41.67159,-71.36161
37,1/29/2019,1247,1,Upper Bay A,1A-2,Upper Narragansett Bay GA 1 Barrington Beach,41.71474,-71.31858,Flood,35.6,0,,41.714527,-71.30675027,41.71474,-71.31858
38,2/11/2019,1130,4,Sakonnet,4A-2,Sakonnet River west of High Hill Point,41.54445,-71.22543,High,36.8,0,,41.546254,-71.2368609,41.54445,-71.22543
39,3/19/2019,958,17,Mt. Hope Bay,17-1,Mt Hope Bay Seal Rock,41.66359,-71.24159,Ebb,39.6,0,,41.666544,-71.24005101,41.66359,-71.24159
40,3/19/2019,1010,17,Mt. Hope Bay,17-1,Mt Hope Bay Seal Rock,41.66359,-71.24159,Ebb,40.1,0,,41.666544,-71.24005101,41.66359,-71.24159
