"DateTime","Alexandrium catenella","Dinophysis acuminata","Dinophysis norvegica","Karenia","Margalefidinium polykrikoides","Pseudo-nitzschia"
"2020-01-05 00:47:58",672,224,0,1120,0,896
"2020-01-05 03:35:09",442,221,0,663,0,884
"2020-01-05 06:47:04",217,0,0,868,217,434
"2020-01-05 09:34:11",0,223,0,445,0,668
"2020-01-05 12:21:23",0,217,0,434,0,867
"2020-01-05 15:08:34",218,0,0,1307,0,871
"2020-01-05 17:55:45",437,218,0,1529,0,655
"2020-01-05 20:42:57",660,0,0,1319,0,660
"2020-01-05 23:30:08",219,219,0,874,219,437
"2020-01-06 02:41:58",0,0,0,878,439,1317
"2020-01-06 05:29:09",650,0,0,1300,217,217
"2020-01-06 08:16:20",0,219,0,439,0,439
"2020-01-06 11:03:32",219,0,0,219,219,219
"2020-01-06 13:50:43",661,0,0,220,0,220
"2020-01-06 16:37:54",894,0,0,2011,0,447
"2020-01-06 19:49:44",435,435,0,1524,435,653
"2020-01-06 22:36:56",437,0,0,873,0,1092
"2020-01-07 01:24:07",221,0,0,1328,221,1107
"2020-01-07 04:11:19",221,0,0,1767,221,663
"2020-01-07 06:58:30",444,0,222,1332,222,1553
"2020-01-07 09:45:42",679,0,0,1584,226,1131
"2020-01-07 12:57:31",431,0,0,863,431,216
"2020-01-07 15:44:43",217,0,0,650,0,650
"2020-01-07 18:31:54",649,0,0,216,0,866
"2020-01-07 21:19:05",437,0,0,1747,0,218
"2020-01-08 00:06:17",431,216,0,216,0,216
"2020-01-08 02:53:28",0,218,0,1306,218,1088
"2020-01-08 06:05:22",216,0,0,863,0,1294
"2020-01-08 08:52:29",0,0,0,872,0,436
"2020-01-08 11:39:41",222,0,0,0,0,888
"2020-01-08 14:26:52",0,0,0,875,0,657
"2020-01-08 17:14:03",652,0,0,869,435,217
"2020-01-08 20:01:15",0,0,0,1308,436,1308
"2020-01-08 22:48:26",0,220,0,439,0,1976
"2020-01-09 02:00:16",220,0,0,1099,0,659
"2020-01-09 04:47:27",223,0,0,1114,223,1114
"2020-01-09 07:34:39",0,0,0,1559,0,1114
"2020-01-09 10:21:50",443,222,0,1329,0,443
"2020-01-09 13:09:02",222,444,0,665,444,887
"2020-01-09 15:56:13",0,0,0,1119,224,1119
"2020-01-09 19:08:03",221,221,0,1103,221,1103
"2020-01-09 21:55:14",447,224,0,1119,0,671
"2020-01-10 00:42:26",217,0,0,434,217,434
"2020-01-10 03:29:37",441,0,0,882,0,661
"2020-01-10 06:16:49",217,217,0,435,435,652
"2020-01-10 09:04:00",217,217,0,869,0,435
"2020-01-10 12:15:50",221,0,0,221,441,1545
"2020-01-10 15:03:02",0,223,0,669,0,893
"2020-01-10 17:50:14",230,230,0,1839,460,690
"2020-01-10 20:37:26",0,696,0,2087,0,696
"2020-01-10 23:24:38",222,0,0,888,222,1111
"2020-01-11 02:11:50",0,224,0,449,0,1346
"2020-01-11 05:23:44",0,421,0,421,211,1474
"2020-01-11 08:10:51",216,1730,216,0,0,433
"2020-01-11 10:58:02",0,858,0,0,215,215
"2020-01-11 13:45:14",0,1703,0,0,213,0
"2020-01-11 16:32:26",423,1905,0,0,0,0
"2020-01-11 19:19:39",0,3005,0,215,0,215
"2020-01-11 22:06:51",213,2342,0,213,213,0
"2020-01-12 01:18:42",213,1919,0,426,0,1066
"2020-01-12 04:05:54",0,842,0,0,0,0
"2020-01-12 06:53:05",439,2196,0,0,0,439
"2020-01-12 09:40:18",0,2363,0,0,215,430
"2020-01-12 12:27:30",215,1507,0,430,0,215
"2020-01-12 15:14:41",433,1082,0,216,0,216
"2020-01-12 18:26:31",0,6608,0,228,456,1367
"2020-01-12 21:13:43",653,2394,0,0,218,435
"2020-01-13 00:00:54",219,1312,0,219,0,1530
"2020-01-13 02:48:06",0,2827,0,652,0,652
"2020-01-13 05:35:17",223,2454,223,446,446,892
"2020-01-13 08:22:29",219,1971,0,438,0,438
"2020-01-13 11:34:19",0,430,0,430,430,861
"2020-01-13 16:15:52",0,224,0,896,0,2016
"2020-01-13 19:43:49",446,0,0,223,0,2232
"2020-01-13 23:11:46",448,0,0,673,224,448
"2020-01-14 02:39:44",658,0,0,658,0,1097
"2020-01-14 06:07:41",221,0,0,442,0,1991
"2020-01-14 09:35:38",440,0,0,660,0,1980
"2020-01-14 13:03:35",221,0,0,662,0,662
"2020-01-14 16:56:10",439,220,0,659,0,2197
"2020-01-14 20:24:08",219,0,0,438,219,657
"2020-01-14 23:52:05",221,0,0,442,221,1326
"2020-01-15 03:20:01",0,217,0,1518,217,1951
"2020-01-15 06:47:59",218,218,0,218,0,1309
"2020-01-15 10:15:56",436,0,0,218,0,654
"2020-01-15 14:08:31",0,218,0,1306,0,1306
"2020-01-15 17:36:28",0,0,0,651,0,1086
"2020-01-15 21:04:25",0,0,0,1089,0,871
"2020-01-16 00:32:22",215,215,0,0,215,1290
"2020-01-16 04:00:19",218,0,0,653,0,1088
"2020-01-16 07:28:17",219,0,0,219,0,1097
"2020-01-16 11:20:52",436,436,0,1089,436,1525
"2020-01-16 14:48:50",0,0,0,1094,0,1532
"2020-01-16 19:50:58",220,0,0,220,0,2859
"2020-01-16 23:18:55",435,218,0,218,218,1306
"2020-01-17 02:46:52",437,218,218,437,437,874
"2020-01-17 06:14:49",225,225,0,1573,225,3595
"2020-01-17 09:42:47",222,222,0,222,222,886
"2020-01-17 13:10:45",0,0,0,442,221,1546
"2020-01-22 19:43:27",0,215,0,1932,0,429
"2020-01-22 23:11:24",0,220,0,440,220,1101
"2020-01-23 02:39:21",435,0,0,653,218,218
"2020-01-23 06:07:18",430,0,0,430,215,430
"2020-01-23 09:35:15",217,0,0,1083,217,650
"2020-01-23 13:03:12",0,217,0,434,217,1085
"2020-01-23 16:55:47",0,217,0,1522,0,217
"2020-01-23 20:23:45",655,0,0,655,218,218
"2020-01-23 23:51:42",0,0,0,1311,219,1530
"2020-01-24 03:19:39",438,0,219,1314,0,1095
"2020-01-24 06:47:36",217,217,0,217,0,651
"2020-01-24 10:15:33",0,216,0,647,0,216
"2020-01-24 13:43:30",215,430,0,645,0,215
"2020-01-24 17:36:06",435,0,0,435,0,870
"2020-01-24 21:04:03",0,219,219,1096,219,1315
"2020-01-25 00:32:00",220,659,220,2415,439,1537
"2020-01-25 03:59:57",218,0,218,1090,218,1744
"2020-01-25 07:27:54",219,0,0,1314,219,876
"2020-01-25 10:55:51",659,0,0,1539,440,220
"2020-01-25 14:48:26",218,0,0,1305,0,435
